Slangword;Kata Baku
aaya;saya
acaknya;acak
ad;ada
adaaa;ada
adanya;ada
ads;iklan
aduhhh;aduh
aflikasinya;aplikasi
aiing;saya
aim;saya
aing;saya
ajah;saja
ajg;anjing
ajip;anjing
ak;saya
akeh;banyak
aki;saya
aktipitasnya;aktivitas
all;semua
almbum;album
already;sudah
alternative;alternatif
always;selalu
amat;sangat
amazing;takjub
ampl;aplikasi
amplikasi;aplikasi
and;dan
android;aplikasi
ane;saya
anehnya;aneh
anid;dan
anj;anjing
anjas;anjing
anjg;anjing
anjim;anjing
anjir;anjing
anjj;anjing
anjng;anjing
ap;apa
apalgi;apa
apansi;apa
apik;bagus
apikkk;bagus
apk;aplikasi
apkikasiy;aplikasi
apkl;aplikasi
apknya;aplikasi
apl;aplikasi
aplication;aplikasi
aplikasiny;aplikasi
aplikasinya;aplikasi
apliksi;aplikasi
aplksinya;aplikasi
app;aplikasi
app;aplikasi
application;aplikasi
applikasi;aplikasi
applikasinya;aplikasi
apps;aplikasi
aq;saya
asiiik;seru
asliiii;asli
asuu;anjing
asuuuu;anjing
at all;semua
ataupun;atau
atsudtrr;absurd
audionya;audio
auto;otomatis
awa;saya
awesome;keren
ay;saya
b;biasa
bae;saja
bagiin;bagi
bagu;bagus
bagusnya;bagus
baguss;bagus
baguss;bagus
bagusss;bagus
bagussss;bagus
bagusssss;bagus
baguuuusss;bagus
baguuuusssssss;bagus
band;grup
bang;kakak
bangett;banget
bangettt;banget
bangettttt;banget
bangeut;banget
banh;banget
bantuana;bantu
bantuin;bantu
banyakk;banyak
barangnya;barang
barunya;baru
bat;banget
batasnya;batas
be;saja
bebass;bebas
because;karena
begitulah;begitu
bembohongan;bohong
benarrrrrrr;benar
bener;benar
beraktivitas;aktivitas
berduit;uang
beriklan;iklan
berkwalitas;kualitas
berkwslitas;kualitas
bermodern;modern
best;baik
bet;baik
bgs;bagus
bgsd;bangsat
bgt;banget
bgtt;banget
bgttt;banget
bgus;bagus
bguss;bagus
bgusss;bagus
biasanya;biasa
bilng;bilang
bingitt;banget
bingun;bingung
bintan;bintang
bisaa;bisa
bissa;bisa
bkin;bikin
blg;bilang
blikinnya;balik
blom;belum
bnget;banget
bngt;banget
bntng;bintang
bnyak;banyak
bnyk;banyak
boys;laki
bravo;bagus
brmanfaat;manfaat
bro;kakak
bruh;kakak
bs;bisa
bsa;bisa
bsh;basah
buangett;banget
buffering;gangguan
bug;gangguan
bugusss;bagus
buruh;baru
buwat;buat
buy;beli
bwagwuws;bagus
bwangwe;banget
by;banyak
byk;banyak
byr;bayar
cant;tidak
canvas;kanvas
cepet;cepat
cftakan;cetak
ciptainnn;cipta
ckp;bagus
cm;cuman
cmn;cuman
cnth;contoh
complete;lengkap
covrer;sampul
cr;cari
critanya;cerita
cumn;cuman
d;di
da bes;terbaik
dapet;dapat
dat;data
dechh;deh
degna;dengan
dehhhh;deh
dengarkan;dengar
denger;dengar
dengerin;dengar
depannya;depan
dgn;dengan
dgr;dengar
dgrin;dengar
diakses;akses
diaktifiin;aktif
diaktifin;aktif
dianggap;anggap
diatur;atur
dibatalin;batal
dibatasi;batas
dibuka;buka
dicari;cari
didengar;dengar
didengarkan;dengar
didengerin;dengar
didownload;unduh
dihapus;hapus
diinginkan;mau
dikala;kala
dikatai;katai
diklik;klik
dilakuin;melakukan
diliat;lihat
diluar;luar
dipaksa;aksa
diperbaiki;perbaikan
diperbaikin;perbaikan
diperbanyak;banyak
diplay;putar
diputar;putar
diputerin;putar
disaat;saat
disaya;saya
disetel;setel
disini;sini
dispotify;spotify
disukai;suka
disulitkan;sulit
disuruh;suruh
ditablet;tablet
ditambah;tambah
ditambahin;tambah
ditayangkan;tayang
ditemukan;temu
ditingkatkan;tingkat
diupdate;membarui
diurut;urut
dl;dulu
dlu;dulu
dn;dan
dnger;dengar
do;apakah
dont;tidak
dongkol;kesal
donh;dong
donk;dong
donlot;unduh
donlwoad;unduh
dowload;unduh
dowlod;unduh
download;unduh
durasinya;durasi
dwonlod;unduh
ehh;eh
elit;elite
emg;memang
enda;tidak
engga;tidak
enggak;tidak
enk;enak
entuk;bisa
error;eror
errorr;eror
ever;pernah
far;jauh
fitur;karakteristik
fiturnya;karakteristik
free;gratis
frooze;beku
fv;favorit
g;tidak
ga;tidak
gaak;tidak
gaj;tidak
gak;tidak
galauu;galau
gaming;permainan
gibran;bagus
gimna;gimana
gk;tidak
gmn;gimana
goddd;bagus
gokil;seru
good;bagus
goood;bagus
gooooods;bagus
gratisan;gratis
great;bagus
greget;gereget
gs;tidak
gt;gitu
gtu;gitu
gtuan;gitu
gud;bagus
gudangnya;gudang
gue;saya
gunakan;guna
guud;bagus
gw;saya
gweh;saya
had;memiliki
hadal;andal
hadehh;aduh
harusnya;harus
has;memiliki
hasilnya;hasil
hay;hai
head;kepala
healing;penyembuhkan
helped;bantu
hemmm;hem
hh;ketawa
hilangkan;hilang
hrs;harus
hrumah;rumah
hrus;harus
i;saya
i am;saya
if;jika
ikalan;iklan
iklannya;iklan
ilang;hilang
ilangin;hilang
ilkanya;iklan
im;saya
implemented;implementasi
ingin;mau
inginkan;mau
ingkan;mau
instal;unduh
internetku;internet
intinya;inti
is;adalah
isiny;isi
it;itu
its;itu
jaringannya;jaringan
jd;jadi
jdi;jadi
jelekkk;jelek
jeleknya;jelek
jelk;jelek
jengkelin;jengkel
jg;juga
jga;juga
jgn;jangan
jijaja;ketawa
jleg;jelek
jlex;jelek
jobs;hebat
jos;hebat
jos gandoss;hebat
josss;hebat
josssss;hebat
joz;hebat
jp;hebat
judulnya;judul
k;ribu
k0nt0l;kontol
kagak;tidak
kajol;kalau
kak;kakak
kalo;kalau
karna;karena
kasi;kasih
katany;katai
kdng;kadang
ke sukaan;suka
kebawah;bawah
kebutuhanku;kebutuhan
kece;keren
kedepannya;depan
kegalauan;galau
keinginan;mau
kek;seperti
keluarnya;keluar
kemalan;kenal
kemaren;kemarin
kembalikan;kembali
kenapah;kenapa
kentod;kentut
keputer;putar
kereeeeeeeen;keren
kereeen;keren
keren~;keren
kerenn;keren
kerennnn;keren
kerennnnnnn;keren
kermana;kenama
kerrreeennn;keren
kesel;kesal
kesetel;setel
kesian;kasihan
kesini;sini
kesukaan;suka
kewalitas;kualitas
kis;kisah
kl;kalau
klau;kalau
klian;kalian
klo;kalau
klu;kalau
kluar;keluar
klw;kalau
kmauan;mau
kmbali;kembali
kmren;kemarin
knp;kenapa
knpa;kenapa
koleksinya;koleksi
komen;komentar
komplit;lengkap
kontl;kontol
kontolll;kontol
koroan;koran
kren;keren
krmn;kemarin
krn;karena
krna;karena
ksih;kasih
kt;kata
ktka;ketika
ktmu;ketemu
ku;saya
kurangin;kurang
kurangnya;kurang
kwalitas;kualitas
kya;seperti
kyk;seperti
laen;lain
lag;gangguan
lagunya;lagu
lahi;lagi
lahua;lagu
lainn;lain
lainnya;lain
langgananya;langganan
latinnya;latin
lav;suka
layanannya;layanan
lbh;lebih
lekap;lengkap
lemot;lamban
lengkapin;lengkap
leptop;laptop
lewati;lewat
lg;lagi
lgi;lagi
lgu;lagu
liat;lihat
like;suka
liriknya;lirik
listen;dengar
lma;lama
lngkp;lengkap
loading;memuat
log in;masuk
log out;keluar
login;masuk
lohhhh;loh
lopeee;suka
lov;suka
love;suka
lovee;suka
loveeeee;suka
lu;kamu
luv;suka
lyrics;lirik
machine;mesin
mahon;mohon
mai;saya
mainin;main
make;membuat
maksa;paksa
maksudnya;maksud
males;malas
manfaatnya;manfaat
mangtaf;mantap
mantaaap;mantap
mantaabbs;mantap
mantaap;mantap
mantaapp;mantap
mantab;mantap
mantaf;mantap
mantaplah;mantap
mantapp;mantap
mantappp;mantap
mantapppp;mantap
manteb;mantap
mantep;mantap
mantili;mantap
mantul;mantap
manyap;mantap
markotop;mantap
masukan;masuk
masukin;masuk
matiin;mati
matiinnya;mati
matikan;mati
mayan;lumayan
mbayar;bayar
mboislah;keren
me;saya
meh;tidak
mek;tidak
meluluuuuuuuuuyuuuuuuuuuuuuuuuu;terus
membagongkan;bingung
memk;memang
mempengaruhi;pengaruh
memutar;putar
mencarinya;cari
mendengarkan;dengar
mendonlwot;unduh
mendownload;unduh
menerut;menurut
mengatasinya;mengatasi
mengbabu;babu
menghibur;hibur
menginstal;unduh
mengoperasikan;operasi
mengsad;sedih
menurutku;menurut
menyenanglan;senang
mi;saya
minn;administrator
misalnya;misal
mknya;sehingga
mlah;malah
mlh;malah
mna;mana
mnambhkan;tambah
mnt;menurut
mntaaappp;mantap
mntaf;mantap
modd;modifikasi
moga;semoga
muaaaantapb;mantap
muantabs;mantap
muantap;mantap
much;banyak
mulu;terus
muluh;terus
munculnya;muncul
music;musik
musiccc;musik
musiiik;musik
musiknya;musik
mutar;putar
mutarnya;putar
muter;putar
my;saya
n;dan
najiss;najis
nak;anak
nambahin;tambah
ndak;tidak
nemenin;teman
ngacak;acak
ngantuk;kantuk
ngasi;kasih
nge lag;gangguan
ngebantu;bantu
ngebug;gangguan
ngehafal;hafal
ngelag;gangguan
ngeliat;lihat
ngentod;kentut
ngeselin;kesal
ngesetel;setel
ngga;tidak
nggak;tidak
ngulang;ulang
ngurangin;kurang
ni;ini
nian;ini
nice;bagus
njing;anjing
njir;anjing
njr;anjing
no;tidak
notif;notifikasi
notifnya;notifikasi
ntah;entah
ntek;habis
nuntut;tuntut
ny;nya
nyaa;nya
nyah;nya
nyantai;santai
nyanyiin;nyanyi
nyari;cari
nyba;coba
nye;nya
nyesek;sesak
nyesel;kecewa
nyetel;setel
nyoba;coba
obatt;obat
oc;oke
off;mati
offlain;luring
offline;luring
ofline;luring
ok;oke
okay;oke
okee;oke
okeh;oke
on;hidup
online;daring
org;orang
out;keluar
output;keluar
padalah;padahal
pake;pakai
paketan;paket
pdhal;padahal
pdhl;padahal
pemakaiannya;pakai
pengaturanmu;pengaturan
pengen;mau
pengin;mau
penyanyinya;penyanyi
perbaharui;membarui
perbaikannya;perbaikan
perbaiki;perbaikan
perbarui;perbaikan
personalisasi;personal
pertahankan;tahan
pgn;mau
pk;pakai
pke;pakai
play;putar
playstore;toko daring
plis;tolong
pliss;tolong
pls;tolong
plus;tambah
pngnnya;mau
poko;pokok
pokoknya;pokok
prbanyakan;banyak
prem;premium
premiuma;premium
premiumnya;premium
premiun;premium
prens;teman
primium;premium
puls;tambah
puter;putar
putur;putar
q;saya
qta;kita
ragamnya;ragam
randem;acak
random;acak
rasanya;rasa
rating;peringkat
real;asli
recomended;rekomendasi
recomendet;rekomendasi
recomentded;rekomendasi
reconnected;rekomendasi
rekomendasikan;rekomendasi
req;minta
reques;minta
riber;susah
ribet;susah
sad;sedih
sahaja;saja
salahin;salah
sampe;sampai
san di;sandi
sangan;sangat
sangatt;sangat
sangattttt ;sangat
sanggat;sangat
sarankan;saran
save;simpan
say;kata
sayangnya;sayang
scara;secara
scrol;gulir
sdng;sedang
see;lihat
sekalihhhhh;sekali
sekalii;sekali
selalku;selalu
selangit;langit
selengkapnya;lengkap
sendir;sendiri
seneng;senang
sepotify;spotify
seremm;seram
seruy;seru
server;sistem
sesukanya;suka
setabil;stabil
setelnya;setel
seterunya;terus
seting;pengaturan
sh;acak
shuffel;acak
shuffle;acak
shufflenya;acak
shuka;suka
sihh;sih
sii;sih
siiip;sip
siip;sip
silah kn;silah
sinyak;sinyal
siplah;sip
sipp;sip
sippp;sip
sisteam;sistem
ska;suka
skip;lewat
skip;lewat
skrng;sekarang
slalu;selalu
sma;sama
smaa;sama
smakin;makin
smoga;semoga
smpe;sampai
sn;sana
so;jadi
soalnya;soal
somoga;semoga
song;lagu
sory;maaf
spirtifity;spotify
spoftify;spotify
sportify;spotify
sportivy;spotify
sporttfy;spotify
sporty;spotify
spotifi;spotify
spotifynya;spotify
spotyfi;spotify
spy;supaya
star;bintang
stel;setel
stiap;setiap
stju;setuju
stop;berhenti
stopp;berhenti
streaming;penyiaran
stressed;stres
strong;kuat
su;anjing
suaranya;suara
suffle;acak
sukaakkk;suka
sukah;suka
sukai;suka
sukak;suka
sukakkk;suka
superr;sangat
susahnya;susah
susuah;susah
swepwotwipway;spotify
sy;saya
sya;saya
syng;sayang
sziiiiip;sip
t o p;keren
taaaaaeeeeee;tai
tab;tombol
taee;tai
tagihannya;tagih
taiik;tai
taik;tai
tak;tidak
tambahin;tambah
tambahkan;tambah
tampa;tanpa
tampilan;tampil
tampilkan;tampil
tbh;jujur
tdk;tidak
teekadang;kadang
temani;teman
temenin;teman
terbaikkkk;baik
terhibur;hibur
terhubung;hubung
terusan;terus
teruss;terus
terusss;terus
tgl;tanggal
the;itu
the best;baik
then;kemudian
there are;ada
this;itu
tida;tidak
time;waktu
tingkatkan;tingkat
to;untuk
tombo;tombol
top;keren
tops;keren
tp;tapi
tpi;tapi
trand;tren
trema;terima
trhpus;hapus
trs;terus
trus;terus
tu;itu
tulisannya;tulisan
turu;tidur
u;kamu
uda;sudah
udah;sudah
udh;sudah
up;naik
up date;membarui
update;membarui
updatenya;membarui
updates;membarui
updatr;membarui
upgrade;meningkatkan
upgret;meningkatkan
urutin;urut
user;pengguna
utk;untuk
uwu;keren
vav;favorit
verry;sangat
very;sangat
vibe;suasana
visulizer;visual
w;saya
wa;saya
waawww;wah
wahhhh;wah
welldone;baik
wengi;wangi
what;apa
when;kapan
wifi;internet
woke;oke
wowww;wah
xg;yang
y;ya
yaa;ya
yekan;ya
yes;ya
yg;yang
yng;yang
you;kamu
yt;youtube
zonk;kosong
baguuuussssssss;bagus
disukaidan;suka
lainya;lain
stu;satu
shopay;shopeepay
lagulagu;lagu
tambahok;tambah
selalau;selalu
bestkeren;keren
memuaskan;puas
upgert;perbaikan
premuin;premium
lengkp;lengkap
wow;wah
bangus;bagus
date;tanggal
pelayanannyatetep;layanan
skrg;sekarang
terusterusan;terus
blm;belum
aktifitas;aktivitas
yapadahal;padahal
gulir;gilir
bagusslagu;bagus
sm;sama
just;hanya
mw;mau
jaringannyamohon;jaringan
diperbaikinanti;perbaikan
recomended;rekomendasi
dowload;unduh
ddtn;dan
dutzwxiia;dunia
mukminchart;makin
cry;nangis
menerangi;terang
ngepremium;premium
kekk;seperti
dngan;dengan
bedasering;beda
errorrr;eror
nyapadahal;padahal
recommended;rekomendasi
dowland;unduh
sportfy;spotify
iklanya;iklan
dikurangin;kurang
benerin;benar
menggangu;mengganggu
diputer;putar
signal;sinyal
temen;teman
